country,relationship_type,study_count
CHN,Endophytic,968
IND,Endophytic,440
CHN,Pathogenic,432
USA,Endophytic,412
USA,Pathogenic,346
BRA,Endophytic,277
IND,Pathogenic,159
BRA,Pathogenic,155
IDN,Endophytic,153
ITA,Pathogenic,120
CHN,Unknown/Other,110
NER,Endophytic,110
CAN,Endophytic,108
KOR,Endophytic,107
THA,Endophytic,107
AUS,Endophytic,100
EGY,Endophytic,99
NZL,Endophytic,91
USA,Unknown/Other,87
AUS,Pathogenic,85
CHN,Mycorrhizal,83
JPN,Endophytic,82
ESP,Endophytic,77
IRN,Endophytic,75
USA,Mycorrhizal,70
ARG,Endophytic,63
ITA,Endophytic,62
MEX,Endophytic,62
CAN,Pathogenic,61
ESP,Pathogenic,59
NER,Pathogenic,59
ZAF,Pathogenic,57
CHN,Antagonistic/Biocontrol,56
KOR,Pathogenic,56
EGY,Pathogenic,54
THA,Pathogenic,54
IRN,Pathogenic,51
DEU,Endophytic,50
ATA,Endophytic,49
PAK,Endophytic,48
ARG,Mycorrhizal,47
ZAF,Endophytic,47
POL,Endophytic,46
IND,Antagonistic/Biocontrol,44
IND,Unknown/Other,44
JPN,Pathogenic,44
CHL,Endophytic,43
ARG,Pathogenic,42
IND,Mycorrhizal,42
NZL,Pathogenic,42
DEU,Pathogenic,41
SAU,Endophytic,41
MEX,Pathogenic,40
AUS,Mycorrhizal,39
IDN,Pathogenic,39
CAN,Mycorrhizal,38
CHN,Mutualistic,38
FIN,Endophytic,38
GBR,Endophytic,38
MYS,Endophytic,38
POL,Pathogenic,37
USA,Mutualistic,37
NLD,Pathogenic,36
BRA,Mycorrhizal,35
BRA,Antagonistic/Biocontrol,34
TWN,Endophytic,34
BRA,Unknown/Other,32
PRT,Pathogenic,31
europe,Pathogenic,30
MYS,Pathogenic,29
NOR,Pathogenic,29
FRA,Endophytic,28
USA,Antagonistic/Biocontrol,25
global,Pathogenic,25
GBR,Pathogenic,24
MNG,Endophytic,24
PAK,Pathogenic,24
RUS,Endophytic,24
TWN,Pathogenic,24
BGD,Endophytic,23
CMR,Endophytic,23
CAN,Unknown/Other,22
CHE,Endophytic,22
CHE,Pathogenic,22
FRA,Pathogenic,22
TUR,Pathogenic,22
COL,Pathogenic,21
IDN,Antagonistic/Biocontrol,21
MAR,Endophytic,21
SAU,Pathogenic,21
LKA,Endophytic,19
NER,Unknown/Other,19
NGA,Endophytic,19
PAN,Endophytic,19
europe,Endophytic,19
COL,Endophytic,18
DZA,Endophytic,18
MEX,Mycorrhizal,18
POL,Unknown/Other,18
PRY,Endophytic,18
SWE,Pathogenic,18
EGY,Antagonistic/Biocontrol,17
PAN,Pathogenic,17
RUS,Pathogenic,17
THA,Unknown/Other,17
TUR,Endophytic,17
ECU,Endophytic,16
ESP,Antagonistic/Biocontrol,16
ITA,Mycorrhizal,16
NER,Antagonistic/Biocontrol,16
NOR,Endophytic,16
POL,Mycorrhizal,16
CRI,Endophytic,15
ISR,Pathogenic,15
KEN,Endophytic,15
PER,Endophytic,15
PHL,Endophytic,15
GBR,Mycorrhizal,14
HUN,Endophytic,14
NGA,Pathogenic,14
PRT,Endophytic,14
TUN,Endophytic,14
VNM,Endophytic,14
ATA,Pathogenic,13
AUS,Unknown/Other,13
AUT,Pathogenic,13
ESP,Unknown/Other,13
ITA,Unknown/Other,13
LKA,Pathogenic,13
MEX,Unknown/Other,13
NOR,Mycorrhizal,13
NZL,Mutualistic,13
uk,Endophytic,13
uk,Pathogenic,13
ARG,Unknown/Other,12
ATA,Unknown/Other,12
CAN,Antagonistic/Biocontrol,12
DZA,Pathogenic,12
FIN,Pathogenic,12
JPN,Mycorrhizal,12
MAR,Pathogenic,12
NOR,Unknown/Other,12
SWE,Endophytic,12
CZE,Endophytic,11
CZE,Pathogenic,11
ECU,Mycorrhizal,11
ETH,Pathogenic,11
JPN,Unknown/Other,11
NLD,Endophytic,11
NZL,Unknown/Other,11
SRB,Pathogenic,11
multiple,Endophytic,11
BGD,Pathogenic,10
CRI,Pathogenic,10
IDN,Unknown/Other,10
OMN,Endophytic,10
UKR,Endophytic,10
AUT,Endophytic,9
BEL,Pathogenic,9
CMR,Pathogenic,9
DEU,Unknown/Other,9
GRC,Pathogenic,9
ITA,Antagonistic/Biocontrol,9
KOR,Unknown/Other,9
MLI,Pathogenic,9
MYS,Unknown/Other,9
PRI,Endophytic,9
SVN,Pathogenic,9
TUN,Pathogenic,9
UKR,Pathogenic,9
VEN,Endophytic,9
ARG,Mutualistic,8
CHL,Pathogenic,8
DEU,Mutualistic,8
DNK,Pathogenic,8
EGY,Unknown/Other,8
FRA,Mycorrhizal,8
FRA,Unknown/Other,8
GEO,Endophytic,8
HKG,Endophytic,8
IND,Mutualistic,8
IRN,Antagonistic/Biocontrol,8
NPL,Endophytic,8
NZL,Mycorrhizal,8
PAN,Unknown/Other,8
RUS,Unknown/Other,8
URY,Pathogenic,8
UZB,Endophytic,8
BFA,Pathogenic,7
CHL,Mycorrhizal,7
DEU,Mycorrhizal,7
ECU,Pathogenic,7
FIN,Unknown/Other,7
GBR,Unknown/Other,7
HUN,Pathogenic,7
IRN,Unknown/Other,7
IRQ,Endophytic,7
IRQ,Pathogenic,7
KEN,Pathogenic,7
PAK,Antagonistic/Biocontrol,7
PER,Pathogenic,7
SAU,Unknown/Other,7
SWE,Mycorrhizal,7
VNM,Pathogenic,7
ZAF,Mycorrhizal,7
europe,Mycorrhizal,7
global,Endophytic,7
not_mentioned,Unknown/Other,7
worldwide,Pathogenic,7
BOL,Endophytic,6
CAN,Mutualistic,6
CRI,Mycorrhizal,6
DEU,Antagonistic/Biocontrol,6
EST,Pathogenic,6
ETH,Endophytic,6
FIN,Mycorrhizal,6
GHA,Pathogenic,6
JPN,Antagonistic/Biocontrol,6
KOR,Antagonistic/Biocontrol,6
MEX,Antagonistic/Biocontrol,6
MYS,Antagonistic/Biocontrol,6
NLD,Unknown/Other,6
NZL,Antagonistic/Biocontrol,6
PAK,Unknown/Other,6
TUR,Unknown/Other,6
europe,Mutualistic,6
not-specified,Pathogenic,6
not_mentioned,Pathogenic,6
BRA,Mutualistic,5
CHE,Mycorrhizal,5
CHE,Unknown/Other,5
EST,Endophytic,5
GRC,Antagonistic/Biocontrol,5
MMR,Endophytic,5
PAK,Mycorrhizal,5
PHL,Pathogenic,5
PRY,Pathogenic,5
PRY,Unknown/Other,5
SDN,Endophytic,5
SVN,Mycorrhizal,5
SWE,Unknown/Other,5
TWN,Mycorrhizal,5
TZA,Pathogenic,5
VEN,Pathogenic,5
ZAF,Unknown/Other,5
central europe,Pathogenic,5
not-specified,Endophytic,5
ARE,Endophytic,4
ARG,Antagonistic/Biocontrol,4
AUS,Antagonistic/Biocontrol,4
AUT,Unknown/Other,4
BEL,Endophytic,4
BGD,Unknown/Other,4
BGR,Pathogenic,4
CHL,Antagonistic/Biocontrol,4
COL,Mycorrhizal,4
CZE,Mycorrhizal,4
DNK,Antagonistic/Biocontrol,4
DNK,Endophytic,4
DZA,Antagonistic/Biocontrol,4
DZA,Mycorrhizal,4
ECU,Unknown/Other,4
EST,Mycorrhizal,4
FRA,Mutualistic,4
GUY,Endophytic,4
HRV,Pathogenic,4
ISR,Endophytic,4
JOR,Endophytic,4
KEN,Antagonistic/Biocontrol,4
LTU,Endophytic,4
MLI,Endophytic,4
MNE,Pathogenic,4
PER,Mycorrhizal,4
PNG,Endophytic,4
PRI,Pathogenic,4
PRT,Unknown/Other,4
ROU,Pathogenic,4
SAU,Antagonistic/Biocontrol,4
SGP,Endophytic,4
SVK,Endophytic,4
SVK,Pathogenic,4
TWN,Unknown/Other,4
TZA,Endophytic,4
UGA,Endophytic,4
UZB,Pathogenic,4
VNM,Antagonistic/Biocontrol,4
ZAF,Antagonistic/Biocontrol,4
asia,Pathogenic,4
multiple,Pathogenic,4
not_mentioned,Endophytic,4
notprovided,Endophytic,4
notprovided,Pathogenic,4
uk,Mycorrhizal,4
ATA,Mutualistic,3
ATA,Mycorrhizal,3
AUS,Mutualistic,3
BMU,Endophytic,3
BOL,Pathogenic,3
COL,Antagonistic/Biocontrol,3
COL,Unknown/Other,3
CRI,Antagonistic/Biocontrol,3
CUB,Endophytic,3
CZE,Unknown/Other,3
DNK,Mutualistic,3
DZA,Unknown/Other,3
EGY,Mycorrhizal,3
ESP,Mycorrhizal,3
FIN,Mutualistic,3
FRO,Endophytic,3
FRO,Unknown/Other,3
GEO,Pathogenic,3
GHA,Endophytic,3
GHA,Unknown/Other,3
GIN,Endophytic,3
GRC,Endophytic,3
GUF,Endophytic,3
HKG,Pathogenic,3
HND,Endophytic,3
HRV,Endophytic,3
IRL,Pathogenic,3
ISL,Endophytic,3
JEY,Endophytic,3
KAZ,Pathogenic,3
KOR,Mycorrhizal,3
LBY,Endophytic,3
LTU,Pathogenic,3
MEX,Mutualistic,3
MLI,Antagonistic/Biocontrol,3
MLT,Pathogenic,3
MNG,Mycorrhizal,3
MNG,Pathogenic,3
NAM,Pathogenic,3
NOR,Antagonistic/Biocontrol,3
OMN,Antagonistic/Biocontrol,3
OMN,Pathogenic,3
PER,Antagonistic/Biocontrol,3
PER,Unknown/Other,3
PNG,Pathogenic,3
POL,Mutualistic,3
PRY,Mycorrhizal,3
REU,Mycorrhizal,3
RUS,Mycorrhizal,3
SDN,Pathogenic,3
SYR,Pathogenic,3
THA,Antagonistic/Biocontrol,3
UGA,Antagonistic/Biocontrol,3
UGA,Pathogenic,3
URY,Endophytic,3
VNM,Unknown/Other,3
africa,Pathogenic,3
europe,Unknown/Other,3
global,Mycorrhizal,3
global,Unknown/Other,3
iberian peninsula,Endophytic,3
multiple,Unknown/Other,3
red sea,Endophytic,3
southeast asia,Endophytic,3
southeast asia,Pathogenic,3
us,Pathogenic,3
worldwide,Endophytic,3
AFG,Unknown/Other,2
ATA,Saprotrophic,2
AUT,Mutualistic,2
AZE,Pathogenic,2
BDI,Pathogenic,2
BGD,Mycorrhizal,2
BLR,Endophytic,2
BLR,Mycorrhizal,2
BLR,Pathogenic,2
BRN,Endophytic,2
CHL,Mutualistic,2
CHL,Unknown/Other,2
CHN,Saprotrophic,2
CMR,Unknown/Other,2
COG,Endophytic,2
COG,Pathogenic,2
CUB,Mycorrhizal,2
CUB,Pathogenic,2
ETH,Mycorrhizal,2
ETH,Unknown/Other,2
FRA,Antagonistic/Biocontrol,2
GBR,Mutualistic,2
GEO,Unknown/Other,2
GIN,Unknown/Other,2
GRL,Endophytic,2
GRL,Unknown/Other,2
GUF,Pathogenic,2
HND,Mycorrhizal,2
HRV,Antagonistic/Biocontrol,2
IDN,Mycorrhizal,2
IRL,Endophytic,2
ISR,Antagonistic/Biocontrol,2
ISR,Unknown/Other,2
JPN,Mutualistic,2
KAZ,Endophytic,2
KEN,Unknown/Other,2
LKA,Unknown/Other,2
LVA,Pathogenic,2
MDG,Endophytic,2
MDG,Mycorrhizal,2
MDG,Pathogenic,2
MNE,Unknown/Other,2
MNG,Unknown/Other,2
MOZ,Endophytic,2
MOZ,Pathogenic,2
MYS,Mycorrhizal,2
NGA,Unknown/Other,2
NLD,Mutualistic,2
NLD,Mycorrhizal,2
NPL,Pathogenic,2
OMN,Unknown/Other,2
PAN,Mutualistic,2
PHL,Mycorrhizal,2
PHL,Unknown/Other,2
PRT,Antagonistic/Biocontrol,2
PYF,Antagonistic/Biocontrol,2
SAU,Mutualistic,2
SAU,Mycorrhizal,2
SDN,Mycorrhizal,2
SGS,Endophytic,2
SGS,Pathogenic,2
SRB,Endophytic,2
SVN,Endophytic,2
SYR,Endophytic,2
TUN,Antagonistic/Biocontrol,2
TUR,Antagonistic/Biocontrol,2
TWN,Mutualistic,2
UKR,Antagonistic/Biocontrol,2
UKR,Mycorrhizal,2
URY,Antagonistic/Biocontrol,2
VEN,Unknown/Other,2
YEM,Endophytic,2
ZAF,Mutualistic,2
ZMB,Pathogenic,2
ZWE,Endophytic,2
ZWE,Pathogenic,2
asia,Endophytic,2
central europe,Mycorrhizal,2
europe,Antagonistic/Biocontrol,2
"extract from source)""",Mycorrhizal,2
indian subcontinent,Endophytic,2
northern europe,Pathogenic,2
not-specified,Unknown/Other,2
not_mentioned_in_text,Endophytic,2
notprovided,Mutualistic,2
notspecified,Antagonistic/Biocontrol,2
