"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean","paper_id","interaction_id","fungal_taxon_raw","fungal_taxon_resolved","fungal_taxon_status","fungal_taxon_resolution_method","fungal_taxon_confidence","fungal_taxon_accepted_ids","plant_host_raw","plant_host_resolved","plant_host_status","plant_host_resolution_method","plant_host_confidence","plant_host_accepted_ids","publication_year","filter_reason"
"Relevant","abstract","abstract","0.0","10.1139/m75-258","populus x euramericana (yellow poplar)","glomus sp.","root","present","mycorrhiza","""intracellular hyphae and vesicles observed in mycorrhizal roots. hyphal deterioration observed; hypothesized to release mineral nutrients absorbed by the host.""","","","abstract-csv","doi_10.1139_m75-258","Abstract","doi:10.1139/m75-258","int_b58a076aa5cc24a6","glomus sp.","glomus","Resolved","exact_accepted","1.0","2559545","populus x euramericana (yellow poplar)","populus canadensis","Resolved","synonym_map","0.95","8190077","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1093/oxfordjournals.aob.a084575","aesculus indica colebr.","endogone sp.","root","present","mycorrhiza","nodules develop without any fungal stimulus but are occupied by endogone in nature. typical endogone infection was synthesized when endogone spores were added to the autoclaved sand.","","","abstract-csv","doi_10.1093_oxfordjournals.aob.a084575","Abstract","doi:10.1093/oxfordjournals.aob.a084575","int_e860e0385b0b9062","endogone sp.","endogone","Resolved","exact_accepted","1.0","2559270","aesculus indica colebr.","aesculus indica","Resolved","exact_accepted","1.0","8566446","1972.0","guild"
"Relevant","abstract","abstract","0.0","10.1093/oxfordjournals.aob.a084575","aesculus indica colebr.","endogone sp.","nodule","present","mycorrhiza","nodules develop without any fungal stimulus but are occupied by endogone in nature. typical endogone infection was synthesized when endogone spores were added to the autoclaved sand.","","","abstract-csv","doi_10.1093_oxfordjournals.aob.a084575","Abstract","doi:10.1093/oxfordjournals.aob.a084575","int_e860e0385b0b9062","endogone sp.","endogone","Resolved","exact_accepted","1.0","2559270","aesculus indica colebr.","aesculus indica","Resolved","exact_accepted","1.0","8566446","1972.0","guild"
"Uncertain","abstract","abstract","0.0","10.1021/jf60188a048","no plant host mentioned","no fungus mentioned","","present","","","","","abstract-csv","doi_10.1021_jf60188a048","Abstract","doi:10.1021/jf60188a048","int_c277895618abc7b6","no fungus mentioned","","Unresolved","no_match","0.0","","no plant host mentioned","","Unresolved","no_match","0.0","","1973.0","relevance"
"Relevant","abstract","abstract","0.0","10.1016/0048-4059(75)90088-0","trifolium (clover)","vesicular-arbuscular mycorrhizal fungi","root","present","mycorrhiza","infections formed in root organ cultures grown on a modified white's agar medium and liquid culture. pre-germinated spores were used as inoculum.","","","abstract-csv","doi_10.1016_0048-4059(75)90088-0","Abstract","doi:10.1016/0048-4059(75)90088-0","int_728c7bce889f638a","vesicular-arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","trifolium (clover)","trifolium","Resolved","exact_accepted","1.0","2973363","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","grasses","acaulospora laevis","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_b6299ab0de98a287","acaulospora laevis","acaulospora laevis","Resolved","exact_accepted","1.0","2560113","grasses","poaceae","Resolved","alias_exact_accepted","1.0","3073","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","grasses","glomus fasciculatus","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_14bf13005d3e221f","glomus fasciculatus","","Unresolved","no_match","0.0","","grasses","poaceae","Resolved","alias_exact_accepted","1.0","3073","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","grasses","rhizophagus tenuis","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_3551378eac23d62a","rhizophagus tenuis","planticonsortium tenue","Resolved","synonym_map","0.95","10776626","grasses","poaceae","Resolved","alias_exact_accepted","1.0","3073","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","legumes","acaulospora laevis","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_3fbbbd7dfc7e2216","acaulospora laevis","acaulospora laevis","Resolved","exact_accepted","1.0","2560113","legumes","fabaceae","Resolved","alias_exact_accepted","1.0","5386","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","legumes","glomus fasciculatus","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_71f852539f4970fc","glomus fasciculatus","","Unresolved","no_match","0.0","","legumes","fabaceae","Resolved","alias_exact_accepted","1.0","5386","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/00288233.1975.10421059","legumes","rhizophagus tenuis","root","present","mycorrhiza","soil-borne spores and vegetative hyphae identification","","NZL","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract","doi:10.1080/00288233.1975.10421059","int_640a2286edc849ce","rhizophagus tenuis","planticonsortium tenue","Resolved","synonym_map","0.95","10776626","legumes","fabaceae","Resolved","alias_exact_accepted","1.0","5386","1975.0","guild"
"Relevant","abstract","abstract","0.0","10.1111/j.1469-8137.1974.tb02142.x","grasses and nearly all the dicotyledonous plants (not specified in full)","vesicular-arbuscular mycorrhizal fungi","root","present","mycorrhiza","""infecting roots; mixed infections present in some plants""","coal waste tips in scotland","GBR","abstract-csv","doi_10.1111_j.1469-8137.1974.tb02142.x","Abstract","doi:10.1111/j.1469-8137.1974.tb02142.x","int_51d8272f0d40a042","vesicular-arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","grasses and nearly all the dicotyledonous plants (not specified in full)","poaceae","Partially_Resolved","alias_exact_accepted; no_match","0.5","3073","1974.0","guild"
"Relevant","abstract","abstract","0.0","10.1111/j.1469-8137.1974.tb02142.x","grasses and nearly all the dicotyledonous plants (not specified in full)","endogone spp.","root","present","mycorrhiza","""infecting roots; mixed infections present in some plants""","coal waste tips in scotland","GBR","abstract-csv","doi_10.1111_j.1469-8137.1974.tb02142.x","Abstract","doi:10.1111/j.1469-8137.1974.tb02142.x","int_436c383482e2c1b8","endogone spp.","endogone","Resolved","exact_accepted","1.0","2559270","grasses and nearly all the dicotyledonous plants (not specified in full)","poaceae","Partially_Resolved","alias_exact_accepted; no_match","0.5","3073","1974.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/0028825x.1977.10432553","leptospermum scoparium","vesicular-arbuscular mycorrhizas","stem","present","mycorrhiza","""infected the host plant; stimulated p uptake but did not always supply the full p requirements of the host. presence remained even when high shoot p concentrations were achieved by applying p."";","""te anau","NZL","abstract-csv","doi_10.1080_0028825x.1977.10432553","Abstract","doi:10.1080/0028825x.1977.10432553","int_d04e02135d239cf6","vesicular-arbuscular mycorrhizas","","Unresolved","no_match","0.0","","leptospermum scoparium","leptospermum scoparium","Resolved","exact_accepted","1.0","3181762","1977.0","guild"
"Uncertain","abstract","abstract","0.0","10.1111/j.1365-2338.1973.tb02092.x","","","","present","","no specific plant-fungus interaction described","","","abstract-csv","doi_10.1111_j.1365-2338.1973.tb02092.x","Abstract","doi:10.1111/j.1365-2338.1973.tb02092.x","int_264b2e14337525f1","","","Unresolved","none","0.0","","","","Unresolved","none","0.0","","1973.0","relevance"
"Relevant","abstract","abstract","0.0","10.1139/m76-009","populus x euramericana (yellow poplar)","glomeromycota sp.","root","present","mycorrhiza","involved in arbuscule deterioration and nutrient release","","","abstract-csv","doi_10.1139_m76-009","Abstract","doi:10.1139/m76-009","int_7c1cb561b0a31a4c","glomeromycota sp.","glomeromycota","Resolved","exact_accepted","1.0","18","populus x euramericana (yellow poplar)","populus canadensis","Resolved","synonym_map","0.95","8190077","1976.0","guild"
"Relevant","abstract","abstract","0.0","10.1002/jobm.19640040210","mycotrophic plants","unspecified endophyte","rhizome","present","mycorrhiza","""lives with underground or creeping plant organs. possible mycorrhizae; mycorrhizomes and mycothalli.""","","","abstract-csv","doi_10.1002_jobm.19640040210","Abstract","doi:10.1002/jobm.19640040210","int_3aeac3cfcbb2dda2","unspecified endophyte","","Unresolved","no_match","0.0","","mycotrophic plants","","Unresolved","no_match","0.0","","1964.0","guild"
"Uncertain","abstract","abstract","0.0","10.1007/bf02023673","","","","present","","no fungal interaction mentioned in the text.","","","abstract-csv","doi_10.1007_bf02023673","Abstract","doi:10.1007/bf02023673","int_e349f1702739eb5d","","","Unresolved","none","0.0","","","","Unresolved","none","0.0","","1967.0","relevance"
"Relevant","abstract","abstract","0.0","10.1071/bt9580025","thismia rodwayi","unspecified endophyte","","present","mycorrhiza","associated mycorrhiza. osmic-staining fat from fungal hyphae into the cells of the higher plant.","","","abstract-csv","doi_10.1071_bt9580025","Abstract","doi:10.1071/bt9580025","int_9c35496c2307f2d3","unspecified endophyte","","Unresolved","no_match","0.0","","thismia rodwayi","thismia rodwayi","Resolved","exact_accepted","1.0","2756470","1958.0","guild"
"Uncertain","abstract","abstract","0.0","10.1111/j.1744-7348.1963.tb03682.x","broad bean seedlings (vicia faba)","","seed","present","","","","","abstract-csv","doi_10.1111_j.1744-7348.1963.tb03682.x","Abstract","doi:10.1111/j.1744-7348.1963.tb03682.x","int_244533f847d214e4","","","Unresolved","none","0.0","","broad bean seedlings (vicia faba)","vicia faba","Resolved","alias_exact_accepted","1.0","2974832","1963.0","relevance"
"Relevant","abstract","abstract","0.0","10.1007/bf00409916","nardus stricta","vesicular-arbuscular endophytes","root","present","mycorrhiza","""mycorrhizal roots. investigated using dna; rna and histone specific stains; autoradiographic techniques.""","","","abstract-csv","doi_10.1007_bf00409916","Abstract","doi:10.1007/bf00409916","int_aa9c478d2c840236","vesicular-arbuscular endophytes","","Unresolved","no_match","0.0","","nardus stricta","nardus stricta","Resolved","exact_accepted","1.0","2702717","1969.0","guild"
"Uncertain","abstract","abstract","0.0","10.1021/ac60282a036","apple","","","present","pathogen","but not specified)""; mentioned as target for toxic fungicides in agriculture","agriculture","","abstract-csv","doi_10.1021_ac60282a036","Abstract","doi:10.1021/ac60282a036","int_f39e92c22714a3f9","","","Unresolved","none","0.0","","apple","","Unresolved","no_match","0.0","","1969.0","relevance"
"Relevant","full-text","abstract","0.0","10.13346/j.mycosystema.190220","hedysarum scoparium","arbuscular mycorrhizae","root","present","mycorrhiza","naturally infected by am fungi in different sampling sites.","desert","CHN","abstract-csv","doi_10.13346_j.mycosystema.190220","Full-Text","doi:10.13346/j.mycosystema.190220","int_8d7ee760752c1a26","arbuscular mycorrhizae","glomeromycota","Resolved","alias_exact_accepted","1.0","18","hedysarum scoparium","corethrodendron scoparium","Resolved","synonym_map","0.95","2961120","","guild"
"Relevant","abstract","abstract","0.0","10.7501/j.issn.0253-2670.2019.16.028","polygonatum kingianum","arbuscular mycorrhizal fungi","root","present","mycorrhiza","""isolated from roots; colonization rate varies across different plots in yunnan province.""","","CHN","abstract-csv","doi_10.7501_j.issn.0253-2670.2019.16.028","Abstract","doi:10.7501/j.issn.0253-2670.2019.16.028","int_bb691d723a66d6c0","arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","polygonatum kingianum","polygonatum kingianum","Resolved","exact_accepted","1.0","2770124","","guild"
"Relevant","full-text","full-text","6.0","10.7324/jabb.2019.70504","croton tiglium (euphorbiaceae)","glomus clarum","root","present","mycorrhiza","""isolated from root samples collected from home gardens of tripura; northeast india""; ""home garden ecosystem; tripura","northeast india""","IND","full-text","doi_10.7324_jabb.2019.70504","Full-Text","doi:10.7324/jabb.2019.70504","int_c90fb37bf18863a1","glomus clarum","rhizophagus clarus","Resolved","synonym_map","0.95","7471482","croton tiglium (euphorbiaceae)","croton tiglium","Resolved","exact_accepted","1.0","3057656","2019.0","guild"
"Relevant","full-text","full-text","6.0","10.7324/jabb.2019.70504","croton tiglium (euphorbiaceae)","glomus clarum","stem","present","mycorrhiza","""isolated from root samples collected from home gardens of tripura; northeast india""; ""home garden ecosystem; tripura","northeast india""","IND","full-text","doi_10.7324_jabb.2019.70504","Full-Text","doi:10.7324/jabb.2019.70504","int_c90fb37bf18863a1","glomus clarum","rhizophagus clarus","Resolved","synonym_map","0.95","7471482","croton tiglium (euphorbiaceae)","croton tiglium","Resolved","exact_accepted","1.0","3057656","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s13199-018-00594-z","hymenophyllaceae (filmy ferns)","arbuscular mycorrhizal fungi","root","present","mycorrhiza","""originally form a symbiosis involving amf; but may be absent in fully adapted epiphytic lineages.""","","","abstract-csv","doi_10.1007_s13199-018-00594-z","Abstract","doi:10.1007/s13199-018-00594-z","int_b79975716a2a39ae","arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","hymenophyllaceae (filmy ferns)","hymenophyllaceae","Resolved","exact_accepted","1.0","2372","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/10549811.2019.1570467","quercus virginiana (fagaceae)","sistotrema sp.","root","present","mycorrhiza","isolated as ectomycorrhizal symbionts from root of q.virginiana seedlings","forest","CHN","abstract-csv","doi_10.1080_10549811.2019.1570467","Abstract","doi:10.1080/10549811.2019.1570467","int_2116c3920faae0d5","sistotrema sp.","sistotrema","Resolved","exact_accepted","1.0","10494302","quercus virginiana (fagaceae)","quercus virginiana","Resolved","exact_accepted","1.0","2878092","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/10549811.2019.1570467","quercus virginiana (fagaceae)","sistotrema sp.","seed","present","mycorrhiza","isolated as ectomycorrhizal symbionts from root of q.virginiana seedlings","forest","CHN","abstract-csv","doi_10.1080_10549811.2019.1570467","Abstract","doi:10.1080/10549811.2019.1570467","int_2116c3920faae0d5","sistotrema sp.","sistotrema","Resolved","exact_accepted","1.0","10494302","quercus virginiana (fagaceae)","quercus virginiana","Resolved","exact_accepted","1.0","2878092","2019.0","guild"
