genus,phylum,family,study_count
Fusarium,Ascomycota,Nectriaceae,1207
Aspergillus,Ascomycota,Aspergillaceae,880
Epichloe,Ascomycota,Clavicipitaceae,845
Alternaria,Ascomycota,Pleosporaceae,526
Penicillium,Ascomycota,Aspergillaceae,514
Trichoderma,Ascomycota,Hypocreaceae,486
Colletotrichum,Ascomycota,Glomerellaceae,437
Serendipita,Basidiomycota,Serendipitaceae,415
Diaporthe,Ascomycota,Diaporthaceae,285
Beauveria,Ascomycota,Cordycipitaceae,279
Chaetomium,Ascomycota,Chaetomiaceae,161
Cladosporium,Ascomycota,Cladosporiaceae,155
Metarhizium,Ascomycota,Clavicipitaceae,141
Talaromyces,Ascomycota,Aspergillaceae,134
Rhizophagus,Glomeromycota,Glomeraceae,133
Rhizoctonia,Basidiomycota,Ceratobasidiaceae,133
Lasiodiplodia,Ascomycota,Botryosphaeriaceae,131
Pestalotiopsis,Ascomycota,Pestalotiopsidaceae,127
Curvularia,Ascomycota,Pleosporaceae,123
Botrytis,Ascomycota,Sclerotiniaceae,119
Phyllosticta,Ascomycota,Phyllostictaceae,107
Funneliformis,Glomeromycota,Glomeraceae,105
Neofusicoccum,Ascomycota,Botryosphaeriaceae,105
Phialocephala,Ascomycota,Mollisiaceae,102
Nigrospora,Ascomycota,Trichosphaeriaceae,96
Epicoccum,Ascomycota,Didymellaceae,96
Sarocladium,Ascomycota,Sarocladiaceae,80
Hyaloscypha,Ascomycota,Hyaloscyphaceae,78
Xylaria,Ascomycota,Xylariaceae,71
Verticillium,Ascomycota,Plectosphaerellaceae,68
Bipolaris,Ascomycota,Pleosporaceae,66
Macrophomina,Ascomycota,Botryosphaeriaceae,59
Pyricularia,Ascomycota,Pyriculariaceae,58
Aureobasidium,Ascomycota,Saccotheciaceae,55
Botryosphaeria,Ascomycota,Botryosphaeriaceae,53
Ustilago,Basidiomycota,Ustilaginaceae,52
Emericella,Ascomycota,Aspergillaceae,52
Clonostachys,Ascomycota,Bionectriaceae,51
Paecilomyces,Ascomycota,Aspergillaceae,50
Lophodermium,Ascomycota,Rhytismataceae,47
Daldinia,Ascomycota,Hypoxylaceae,47
Induratia,Ascomycota,Induratiaceae,46
Entrophospora,Glomeromycota,Entrophosporaceae,45
Sclerotinia,Ascomycota,Sclerotiniaceae,45
Acremonium,Ascomycota,Bionectriaceae,45
Didymella,Ascomycota,Didymellaceae,45
Sphaeropsis,Ascomycota,Botryosphaeriaceae,42
Diplodia,Ascomycota,Botryosphaeriaceae,41
Neopestalotiopsis,Ascomycota,Pestalotiopsidaceae,37
Stemphylium,Ascomycota,Pleosporaceae,37
Mucor,Mucoromycota,Mucoraceae,36
Athelia,Basidiomycota,Atheliaceae,36
Exophiala,Ascomycota,Herpotrichiellaceae,34
Acaulospora,Glomeromycota,Acaulosporaceae,33
Paraphoma,Ascomycota,Phaeosphaeriaceae,33
Microdochium,Ascomycota,Amphisphaeriaceae,32
Podosphaera,Ascomycota,Erysiphaceae,32
Cercospora,Ascomycota,Mycosphaerellaceae,31
Phomopsis,Ascomycota,Diaporthaceae,31
Cytospora,Ascomycota,Valsaceae,31
Biscogniauxia,Ascomycota,Graphostromataceae,30
Zymoseptoria,Ascomycota,Mycosphaerellaceae,29
Purpureocillium,Ascomycota,Ophiocordycipitaceae,29
Puccinia,Basidiomycota,Pucciniaceae,29
Erysiphe,Ascomycota,Erysiphaceae,29
Rhizopus,Mucoromycota,Rhizopodaceae,29
Periconia,Ascomycota,Periconiaceae,28
Phoma,Ascomycota,Didymellaceae,28
Candida,Ascomycota,Debaryomycetaceae,28
Apiospora,Ascomycota,Apiosporaceae,28
Glomus,Glomeromycota,Glomeraceae,28
Metacordyceps,Ascomycota,Clavicipitaceae,28
Pezicula,Ascomycota,Dermateaceae,25
Apiognomonia,Ascomycota,Gnomoniaceae,25
Exserohilum,Ascomycota,Pleosporaceae,24
Gigaspora,Glomeromycota,Gigasporaceae,24
Hypoxylon,Ascomycota,Hypoxylaceae,24
Dothiorella,Ascomycota,Botryosphaeriaceae,23
Pyrenophora,Ascomycota,Pleosporaceae,22
Plectosphaerella,Ascomycota,Plectosphaerellaceae,22
Corynespora,Ascomycota,Corynesporascaceae,21
Acrocalymma,Ascomycota,Acrocalymmaceae,21
Ilyonectria,Ascomycota,Nectriaceae,21
Rhodotorula,Basidiomycota,Sporidiobolaceae,20
Pseudopestalotiopsis,Ascomycota,Pestalotiopsidaceae,20
Venturia,Ascomycota,Venturiaceae,20
Gaeumannomyces,Ascomycota,Magnaporthaceae,20
Schizophyllum,Basidiomycota,Schizophyllaceae,19
Cladophialophora,Ascomycota,Herpotrichiellaceae,19
Mycosphaerella,Ascomycota,Mycosphaerellaceae,19
Cadophora,Ascomycota,Ploettnerulaceae,19
Sydowia,Ascomycota,Dothioraceae,19
Ganoderma,Basidiomycota,Polyporaceae,18
Claviceps,Ascomycota,Clavicipitaceae,18
Blumeria,Ascomycota,Erysiphaceae,18
Pseudocercospora,Ascomycota,Mycosphaerellaceae,18
Suillus,Basidiomycota,Suillaceae,17
Neonectria,Ascomycota,Nectriaceae,17
Ceratocystis,Ascomycota,Ceratocystidaceae,17
Tulasnella,Basidiomycota,Tulasnellaceae,17
