accepted_id,canonicalName,phylum,family,genus,study_count
2706231,Lolium arundinaceum,Tracheophyta,Poaceae,Lolium,562
2703459,Oryza sativa,Tracheophyta,Poaceae,Oryza,465
5290052,Zea mays,Tracheophyta,Poaceae,Zea,439
2706241,Lolium perenne,Tracheophyta,Poaceae,Lolium,408
2930137,Solanum lycopersicum,Tracheophyta,Solanaceae,Solanum,396
7795888,Triticum aestivum,Tracheophyta,Poaceae,Triticum,389
5359660,Glycine max,Tracheophyta,Fabaceae,Glycine,219
5372392,Vitis vinifera,Tracheophyta,Vitaceae,Vitis,215
3052436,Arabidopsis thaliana,Tracheophyta,Brassicaceae,Arabidopsis,188
2706056,Hordeum vulgare,Tracheophyta,Poaceae,Hordeum,137
3001244,Malus domestica,Tracheophyta,Rosaceae,Malus,124
2930262,Solanum tuberosum,Tracheophyta,Solanaceae,Solanum,123
5350452,Phaseolus vulgaris,Tracheophyta,Fabaceae,Phaseolus,101
5285637,Pinus sylvestris,Tracheophyta,Pinaceae,Pinus,88
5353770,Arachis hypogaea,Tracheophyta,Fabaceae,Arachis,84
2928774,Nicotiana tabacum,Tracheophyta,Solanaceae,Nicotiana,80
4141881,Achnatherum inebrians,Tracheophyta,Poaceae,Achnatherum,74
2703912,Saccharum officinarum,Tracheophyta,Poaceae,Saccharum,72
2874569,Cucumis sativus,Tracheophyta,Cucurbitaceae,Cucumis,72
5284884,Picea abies,Tracheophyta,Pinaceae,Picea,72
3152661,Gossypium hirsutum,Tracheophyta,Malvaceae,Gossypium,71
3042636,Brassica napus,Tracheophyta,Brassicaceae,Brassica,70
5415040,Olea europaea,Tracheophyta,Oleaceae,Olea,69
2762680,Musa acuminata,Tracheophyta,Musaceae,Musa,68
3189635,Camellia sinensis,Tracheophyta,Theaceae,Camellia,68
2704922,Festuca rubra,Tracheophyta,Poaceae,Festuca,66
7403263,Lactuca sativa,Tracheophyta,Asteraceae,Lactuca,66
3152205,Theobroma cacao,Tracheophyta,Malvaceae,Theobroma,65
2688470,Huperzia serrata,Tracheophyta,Lycopodiaceae,Huperzia,64
2932944,Capsicum annuum,Tracheophyta,Solanaceae,Capsicum,63
2895345,Coffea arabica,Tracheophyta,Rubiaceae,Coffea,60
4129708,Lolium multiflorum,Tracheophyta,Poaceae,Lolium,58
3169830,Catharanthus roseus,Tracheophyta,Apocynaceae,Catharanthus,53
