country,bryophyta_study_count
IND,0
AUS,0
IDN,0
ITA,0
EGY,0
THA,0
ESP,0
NZL,0
JPN,0
IRN,0
MEX,0
ZAF,0
DEU,0
PAK,0
MYS,0
SAU,0
TWN,0
FIN,0
CHL,0
NLD,0
RUS,0
CHE,0
PAN,0
PRT,0
COL,0
TUR,0
SWE,0
DZA,0
BGD,0
NGA,0
CMR,0
ECU,0
MAR,0
CRI,0
MNG,0
KEN,0
PRY,0
AUT,0
CZE,0
PER,0
VNM,0
TUN,0
HUN,0
ISR,0
DNK,0
ETH,0
PHL,0
UKR,0
OMN,0
GRC,0
SVN,0
MLI,0
IRQ,0
GEO,0
SRB,0
UZB,0
VEN,0
BEL,0
GHA,0
HKG,0
PRI,0
UGA,0
HRV,0
EST,0
NPL,0
TZA,0
URY,0
PNG,0
SVK,0
BOL,0
CUB,0
LTU,0
SDN,0
BFA,0
ARE,0
GIN,0
MNE,0
SYR,0
BGR,0
HND,0
IRL,0
JEY,0
JOR,0
KAZ,0
MDG,0
MMR,0
NAM,0
ROU,0
SGP,0
BLR,0
COG,0
PYF,0
GRL,0
GUY,0
ISL,0
LBY,0
MLT,0
ZWE,0
AZE,0
BMU,0
BRN,0
LUX,0
MUS,0
MOZ,0
NCL,0
AFG,0
BEN,0
BTN,0
BIH,0
BDI,0
COD,0
DOM,0
ERI,0
JAM,0
LVA,0
LBN,0
NIC,0
QAT,0
SEN,0
YEM,0
ZMB,0
ALB,0
BRB,0
BWA,0
TCD,0
CIV,0
DMA,0
GTM,0
GNB,0
IMN,0
LAO,0
MWI,0
MDA,0
TLS,0
TGO,0
TTO,0
VUT,0
ASM,0
AND,0
AGO,0
AIA,0
ATG,0
ARM,0
ABW,0
BHS,0
BHR,0
BLZ,0
IOT,0
VGB,0
CPV,0
KHM,0
CYM,0
CAF,0
COM,0
COK,0
CUW,0
CYP,0
DJI,0
SLV,0
GNQ,0
FRO,0
FLK,0
FJI,0
ATF,0
GAB,0
GMB,0
GRD,0
GUM,0
GGY,0
HTI,0
HMD,0
KIR,0
KWT,0
KGZ,0
LSO,0
LBR,0
LIE,0
MAC,0
MDV,0
MHL,0
MRT,0
FSM,0
MCO,0
MSR,0
MNP,0
NRU,0
NIU,0
NFK,0
PRK,0
MKD,0
PLW,0
PSE,0
PCN,0
RWA,0
SSD,0
SHN,0
LCA,0
WSM,0
SMR,0
SYC,0
SLE,0
SXM,0
SLB,0
SOM,0
BLM,0
MAF,0
KNA,0
SPM,0
VCT,0
SUR,0
STP,0
TJK,0
TON,0
TKM,0
TCA,0
TUV,0
VIR,0
VAT,0
ESH,0
WLF,0
SWZ,0
ALA,0
