plant_host_resolved,total_records,only_in_undersampled,country_list
vitex payos,14,TRUE,ZWE
colophospermum mopane,3,TRUE,BWA
astilbe rivularis,2,TRUE,BTN
citrus medica,2,TRUE,PYF
crotalaria retusa,2,TRUE,CIV
gastrodia similis,2,TRUE,MUS
limonium axillare,2,TRUE,QAT
miconia calvescens,2,TRUE,PYF
pinus occidentalis,2,TRUE,DOM
syzygium,2,TRUE,MOZ
colletotrichum,1,TRUE,GUY
fomitopsis betulina,1,TRUE,LUX
jatropha variegata,1,TRUE,YEM
nodulisporium,1,TRUE,GUY
oryza barthii,1,TRUE,SEN
parasitaxus usta,1,TRUE,NCL
pestalotiopsis,1,TRUE,GUY
phomopsis,1,TRUE,GUY
robinia pseudoacacia,1,TRUE,BIH
sabal bermudana,1,TRUE,BMU
sandwithia guyanensis,1,TRUE,GUY
synsepalum dulcificum,1,TRUE,BEN
