tissue_token,study_count
root,5436
leaf,3621
stem,2068
seed,1730
fruit,324
wood,245
rhizosphere,242
soil,199
tuber,184
bark,159
needle,130
flower,122
foliar,114
endophytic,108
rhizome,98
nodule,92
reproductive,77
grass,45
plant,39
phyllosphere,37
foliage,36
pasture,30
xylem,29
plants,27
mycelium,23
petiole,21
mycelia,19
plant tissue,19
tiller,19
internal tissues,18
culture,17
endophyte,16
seaweed,16
litter,13
endosphere,12
forage,12
grasses,12
aboveground,11
thalli,10
gall,9
inflorescences,9
stroma,9
tree,9
whole plant,9
aboveground tissues,8
callus,8
sheath,8
hay,7
liver,7
phylloplane,7
planta,7
plants as a whole,7
suspension cells,7
above-ground tissues,6
corm,6
culture broth,6
fermentation broth,6
grass tissue,6
herbage,6
phloem,6
plantlets,6
rhizoids,6
sclerotia,6
stalk,6
straw,6
various tissues,6
aboveground biomass,5
buds,5
cortex,5
cultures,5
ear,5
epiphytic,5
fresh tissue,5
fronds,5
host tissue,5
inflorescence,5
marine red alga,5
none specified,5
pollen,5
skin,5
stromata,5
aboveground parts,4
blood,4
cell culture,4
cell suspension culture,4
conidia,4
crown,4
cultured,4
different tissues,4
galls,4
grass blade,4
host plant,4
hyphae,4
in planta,4
infected tissue,4
interior tissues,4
internal tissues of plants,4
intracellular,4
lichen thalli,4
notspecified,4
plant as a whole,4
plant host,4
plant material,4
rhizoma,4
rhizospheric,4
rumen,4
sheaths,4
solid cultures,4
spikes,4
spines,4
spores,4
sprouts,4
surface,4
vegetative tissues,4
above-ground parts,3
aerial part,3
air,3
algal tissue,3
apoplast,3
asymptomatic tissues,3
bulk soil,3
canes,3
cladodes,3
embryo,3
endophytic fungus,3
endorhiza,3
entire plant,3
grass samples,3
grass tissues,3
gut,3
host plants,3
host tissues,3
intercellular,3
internal,3
larvae,3
nut,3
organs,3
peel,3
petals,3
pinnules,3
plant endophyte,3
plant interior,3
pod,3
rhizospheric soil,3
sap,3
stomata,3
suspension culture,3
tillers,3
tissues,3
wound,3
above-ground biomass,2
above-ground organs,2
above-ground tissue,2
aerial,2
aerial plant parts,2
aerial regions,2
anther,2
anthers,2
apoplast fluid,2
broth,2
broth extract,2
broth fermentation,2
calli,2
cambium,2
canopy,2
cell suspension,2
cell suspension cultures,2
cells,2
coleoptile,2
coleoptiles,2
crop,2
culture extract,2
cultured on rice,2
cuttings,2
diet,2
ears,2
endemic plant,2
endolichenic,2
endophytes,2
environment,2
epidermal cells,2
epidermal tissues,2
epiphyte,2
frond,2
generative organs,2
grass biomass,2
grass clippings,2
grass host,2
grass pasture,2
grazing pasture,2
haustoria,2
head,2
healthy photosynthetic tissues,2
healthy plant parts,2
host,2
hypocotyl,2
hypocotyls,2
in vitro,2
infected grass,2
infected plant,2
infected tissues,2
integument,2
intercellular niche,2
intercellular spaces,2
interior of plants,2
interior of the plant,2
interior plant tissue,2
internal organs,2
internal tissues of living plants,2
laboratory cultures,2
lateral buds,2
lateral saphenous vein,2
latex,2
lichen,2
living,2
lung,2
macrophages,2
mangrove plant,2
marine alga,2
moss,2
not specifically mentioned,2
notum,2
nymphs,2
oral mucosa,2
ovaries,2
pedicel,2
photosynthetic tissues,2
plant cells,2
plant organs,2
plant parts,2
plant samples,2
plantlet,2
pods,2
pruning wounds,2
pupae,2
rhizoid,2
rhizoplane,2
rice,2
rice plant,2
rumen fluid,2
senescent tissues,2
silks,2
solid rice medium,2
sprout,2
stalks,2
submerged parts,2
substrate,2
suspension cell culture,2
symptomatic,2
tissues of the plant,2
tissues of various plants,2
tomato plants,2
undisclosed,2
various plant parts,2
vascular,2
vascular bundles,2
vascular tissues,2
vegetative organs,2
vegetative tissue,2
within plant,2
6 colonies,1
above ground dry matter,1
above-,1
above-ground,1
above-ground plant material,1
above-ground plant tissue,1
aboveground litter,1
aboveground organs,1
aboveground tissues of frond blades,1
adrenal glands,1
adult body,1
adult i sexdentatus,1
adult stage,1
aerial biomass,1
aerial crown,1
aerial crown gall tumors,1
aerial host tissues,1
aerial hyphae,1
aerial plant organs,1
aerial spores,1
agar media,1
ages,1
agricultural wastes,1
air particulate matter,1
air-borne,1
airborne,1
airborne aerosols,1
alga,1
algae tissue,1
algal cells,1
algal filaments,1
algal receptacles,1
algicolous endophytic,1
alimentary tract,1
all organs,1
all parts of g rigescens plants,1
all plant parts,1
all sampled hazelnut organs,1
all sugar beet,1
almond,1
almonds,1
anterior pituitary,1
aphid,1
aphid cuticle,1
aphids body,1
apices,1
apoplastic protein fraction,1
apple,1
apple parts,1
arils,1
ascospore,1
aseptic agar media,1
asparagus spears,1
associated,1
associated endophytic fungus,1
associated with moss,1
associated with moss colonies,1
associated with the medicinal plant,1
asymptomatic common bean,1
asymptomatic plant,1
asymptomatic plants,1
asymptomatic tillers,1
autotrophic tissue cultures,1
axenic plantlets obtained from cariopses,1
axenic rice culture,1
axes,1
axillary buds,1
axis,1
bacteriome,1
bamboo tissues,1
barley samples,1
basal,1
base of the plant,1
base of the sward,1
basidioma,1
basidiomata,1
bean,1
bean plants,1
beechnut,1
below-ground organs,1
below-ground tissues,1
belowground biomass,1
belowground parts,1
billet,1
biomass extracts,1
blade,1
blades,1
blades for p peregrinum,1
blood culture,1
blood serum,1
blossoms,1
body tissues,1
bone marrow,1
bovine lateral saphenous vein,1
bract,1
brain,1
broth culture,1
brown algae,1
bryophyte,1
bryophyte tissue,1
bryophytes,1
bryosphere,1
bulked samples,1
cabbage,1
cacao pods surface,1
cactus tissue,1
cadaver,1
callus cultures,1
callus liquid cultures,1
callus material of beech,1
cambial region of the tree limbs,1
cane,1
canker,1
canker on tree,1
cankers,1
cankers associated with n arbuti infection,1
canopy soil,1
capitula,1
capsule,1
caterpillar,1
caudal arteries,1
caudal artery,1
caulosphere,1
cell,1
cell cultures,1
cell line,1
cell lineage,1
cell lines,1
cell wall,1
cell wall residues,1
cellulose,1
cellulose-based medium,1
chemical-epigenetic cultures,1
citrus tissues,1
clumps,1
cob,1
cocoa pods,1
coffee berries,1
colitis,1
colonized tissues,1
commercial biocontrol products,1
cone,1
conidia derived from lesions,1
conidiospores obtained from the atmosphere,1
conidium,1
core rot,1
cork,1
corn fiber,1
cornea,1
cotton,1
cotyledon,1
crop residue,1
crops,1
crude extract from the endophytic fungus,1
crude extract via hplc-hrms-spe-nmr,1
culture broths,1
culture extracts,1
culture filtrate,1
culture filtrates,1
culture medium,1
culture of endophytic fungus,1
culture of fungus,1
culture solution,1
cultured broth,1
cultured fungus,1
cultured in solid medium,1
cultured mycelia,1
cultured solid,1
cultured solid cultures,1
cultures of an isolate,1
cultures of endophytic fungus,1
cultures of penicillium sp,1
cupule litter,1
cut surface,1
cuticle,1
cyst,1
cysts,1
dead stalks,1
decaying grass,1
decaying plants,1
different organs,1
different organs of a indica,1
different organs of l radiata,1
different parts of jute plant,1
different tissue parts of licorice,1
different tissue types,1
different tissues of brugmansia aurea lagerh,1
digestive tract,1
digestive tracts,1
disease symptoms,1
diseased samples from various orchards,1
diseased tissue,1
diseased tissues,1
distal colon,1
diverse parts throughout plant kingdom,1
dna,1
dna from endophyte-infected tall fescue,1
dormant buds,1
dormant vegetative buds,1
dorsal pedal vein,1
dried plant material,1
droppings,1
dry yellow foxtail,1
dung,1
ectomycorrhizae,1
ectomycorrhizas,1
edible parts,1
egg,1
eggs,1
eggshell surface,1
embryonic tissue,1
embryos,1
endo-microbiomes,1
endolichenic fungi,1
endolichenic stages,1
endolithic,1
endophyte in grass,1
endophyte of plant,1
endophytic association,1
endophytic communities,1
endophytic community in plants,1
endophytic compartments of plants,1
endophytic fungus cultured under solid rice medium,1
endophytic hyphae,1
endophytic isolated from plant tissue,1
