source_type,source_file,doc_id,contains_ubiquity_claim,claim_strength,claim_scope,confidence,evidence_sentences,rationale,citation,text_chars,snippets_used,keyword_hits,model_name,error
abstract,Abstracts_for_Monsoon.csv:row_1,10.14719/pst.4003,False,none,endophytes_general,0.900,The results of the isolation of internal fungi showed that 70% of the leaves of the rosemary plant contained one isolation of the endophytic fungi,"The text mentions the presence of endophytic fungi in 70% of rosemary plants, but there is no claim that these fungal endophytes are ubiquitous or found in nearly all plants. Instead, it appears to be a specific finding related to rosemary.",,1365,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_5,10.21161/mjm.220097,False,none,endophytes_general,0.950,"A total of 2690 explants from Enhalus acoroides, Thalassia hemprichii and Cymodocea serrulata were examined in this study.","The text does not make a claim that fungal endophytes are ubiquitous or found in nearly all plants. Instead, it mentions the examination of endophytic fungi isolated from three specific seagrass species.",,1776,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_9,10.1111/aec.13438,True,explicit,endophytes_general,0.900,Root colonization by AMF was high in all sites (similar to 90%) || Potentilla anserina grew similarly in all the treatments,"The text states that root colonization by Arbuscular mycorrhizal fungi (AMF) was high in all sites, which suggests a claim of ubiquity for these endophytes.",,1627,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_13,10.1007/BF02053790,False,none,endophytes_general,0.950,"The internal fungi recovered included species of Chaetomium, Cladosporium, Curvularia, Helminthosporium, Hetero-sporium, Hormodendron, Pullularia, Alternaria, AspergillusBlasto-myces, Monilia, Penicillium, Fusarium, Phoma, Phomopsis.","The text describes the presence of various fungi in different varieties of Sorghum seeds, but does not claim that these fungi are ubiquitous or found in nearly all plants. Instead, it indicates specific fungal species recovered from the seeds.",,1068,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_17,10.1023/A:1010310921738,False,none,endophytes_general,0.900,"The Calluna root system on Hjelm Hede demonstrated a high morphological diversity among the associated dark, septate fungi suggesting that more than one fungus could coexist in the same host root system.","Although the text suggests a high diversity of dark, septate fungi associated with Calluna plants, it does not claim that these fungi are ubiquitous or near-universal in all plants. Instead, it implies that multiple fungal species may coexist within a single root system.",,844,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_21,10.1094/MPMI.2003.16.7.580,False,qualified,endophytes_general,0.800,"Fungal endophytes ... colonize plants without producing symptoms. || In spring, it was only detected in roots, whereas in autumn, it could frequently be found in all organs, including seeds. || Microcosm experiments revealed that seeds harbored viable propagules of the fungus that colonized the developing germling, indicating vertical transmission.","While the text indicates that Stagonospora sp. (a type of fungal endophyte) can be found in different organs of Phragmites australis (common reed), it does not claim ubiquity or near-universality across all plants, but rather focuses on a specific case study.",,1119,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_25,10.3892/or.2017.5366,False,none,endophytes_general,0.950,,"The text does not make a claim about the ubiquity or near-universality of fungal endophytes in plants. Instead, it focuses on the isolation and identification of endophytic fungi from specific types of mangrove plants.",,1426,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_29,10.1111/j.1744-7348.1955.tb02504.x,False,none,endophytes_general,1.000,,"The text does not contain a claim that fungal endophytes are ubiquitous or found in nearly all plants. Instead, it discusses the use of certain compounds as systemic fungicides against specific plant pathogens (Botrytis fabae and Alternaria solani) on broad beans and tomatoes.",,1322,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_33,10.1590/1983-21252018v31n309rc,False,none,endophytes_general,0.900,The presence of endophytic dark septate fungi did not inhibit mycorrhization and the formation of nodules of nitrogen fixing bacteria in gliricidia.,"The text does not make a claim that endophytes are ubiquitous or found in nearly all plants. Instead, it discusses the presence of specific endophytic dark septate fungi in gliricidia and their interaction with other microorganisms.",,1471,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_37,10.21577/1984-6835.20200116,False,none,endophytes_general,0.800,Endophytic fungi live in symbiotic association with plants for at least part of their life.,"The text discusses the presence and potential uses of endophytic fungi, but does not make a claim about them being ubiquitous or found in nearly all plants. Instead, it emphasizes that they are associated with plants.",,1060,1,0,mistral,
