"country_clean","count"
"fro",5
"abstract analysis)",2
"abstract-based analysis)",2
"extract from source)",2
"abstract does not specify)",1
"ago",1
"as mangroves are found in tropical",1
"asm",1
"assumed as location of mangroves)",1
"assumed to be in the mediterranean region)",1
"based on pitch pine distribution)",1
"but context suggests its relevant to the mediterranean area)",1
"but likely multiple due to mention of various mountain ecosystems)",1
"but likely tropical)",1
"but plant is native to asia)",1
"caf",1
"czechia",1
"extract from citation>",1
"extract from reference list if available)",1
"extract from source if possible)",1
"extract from source needed)",1
"extract from the journals website or database)",1
"extract from the publication if available)",1
"extract from the source article if possible)",1
"extract from the source if available)",1
"extract if available)",1
"extracted from context)",1
"extracted text)",1
"field experiment location)",1
"fsm",1
"full text may contain country information)",1
"gab",1
"global)",1
"gum",1
"kgz",1
"kwt",1
"leningrad",1
"likely in locations where wheat is cultivated)",1
"likely where the study was conducted)",1
"location is a high-elevation landscape)",1
"mangrove study)",1
"mrt",1
"multiple countries across sub-saharan africa",1
"no location specified in text)",1
"please check the original source)",1
"please check the source>",1
"possibly multiple locations)",1
"presumed culture isolation)",1
"silwood park)",1
"study conducted in",1
"study conducted in a salt marsh)",1
"study does not specify a particular country)",1
"study may be global as it focuses on common bean)",1
"study was not location-specific)",1
"subtropical regions)",1
"the americas)",1
"west nusa tenggara",1
"wsm",1
"xkx",1
