iso_a3,realm,realm_secondary,notes
ABW,Neotropic,,
AFG,Palearctic,Indomalaya,mostly Palearctic; only the SE lowlands are Indomalayan
AGO,Afrotropic,,
AIA,Neotropic,,
ALA,Palearctic,,
ALB,Palearctic,,
AND,Palearctic,,
ARE,Palearctic,,
ARG,Neotropic,Antarctic,southern Patagonia grades into the Antarctic realm
ARM,Palearctic,,
ASM,Oceania,,
ATA,Antarctic,,
ATF,Antarctic,,
ATG,Neotropic,,
AUS,Australasia,,
AUT,Palearctic,,
AZE,Palearctic,,
BDI,Afrotropic,,
BEL,Palearctic,,
BEN,Afrotropic,,
BES,Neotropic,,
BFA,Afrotropic,,
BGD,Indomalaya,,
BGR,Palearctic,,
BHR,Palearctic,,
BHS,Neotropic,,
BIH,Palearctic,,
BLM,Neotropic,,
BLR,Palearctic,,
BLZ,Neotropic,,
BMU,Nearctic,,
BOL,Neotropic,,
BRA,Neotropic,,
BRB,Neotropic,,
BRN,Indomalaya,,
BTN,Indomalaya,,
BVT,Antarctic,,
BWA,Afrotropic,,
CAF,Afrotropic,,
CAN,Nearctic,,
CCK,Indomalaya,,
CHE,Palearctic,,
CHL,Neotropic,Antarctic,far S Magellanic zone grades into the Antarctic realm
CHN,Palearctic,Indomalaya,"S China (Yunnan, Guangxi, Hainan) is Indomalayan"
CIV,Afrotropic,,
CMR,Afrotropic,,
COD,Afrotropic,,
COG,Afrotropic,,
COK,Oceania,,
COL,Neotropic,,
COM,Afrotropic,,
CPV,Afrotropic,,
CRI,Neotropic,,
CUB,Neotropic,,
CUW,Neotropic,,
CXR,Indomalaya,,
CYM,Neotropic,,
CYP,Palearctic,,
CZE,Palearctic,,
DEU,Palearctic,,
DJI,Afrotropic,,
DMA,Neotropic,,
DNK,Palearctic,,
DOM,Neotropic,,
DZA,Palearctic,,
ECU,Neotropic,,
EGY,Palearctic,Afrotropic,far S (Gebel Elba) is Afrotropic
ERI,Afrotropic,,
ESH,Palearctic,,
ESP,Palearctic,,
EST,Palearctic,,
ETH,Afrotropic,,
FIN,Palearctic,,
FJI,Oceania,,
FLK,Neotropic,,
FRA,Palearctic,,
FRO,Palearctic,,
FSM,Oceania,,
GAB,Afrotropic,,
GBR,Palearctic,,
GEO,Palearctic,,
GGY,Palearctic,,
GHA,Afrotropic,,
GIB,Palearctic,,
GIN,Afrotropic,,
GLP,Neotropic,,
GMB,Afrotropic,,
GNB,Afrotropic,,
GNQ,Afrotropic,,
GRC,Palearctic,,
GRD,Neotropic,,
GRL,Nearctic,,
GTM,Neotropic,,
GUF,Neotropic,,
GUM,Oceania,,
GUY,Neotropic,,
HKG,Indomalaya,,
HMD,Antarctic,,
HND,Neotropic,,
HRV,Palearctic,,
HTI,Neotropic,,
HUN,Palearctic,,
IDN,Indomalaya,Australasia,Papua and islands E of Wallace's Line are Australasian
IMN,Palearctic,,
IND,Indomalaya,Palearctic,the Himalaya and NW arid zone are Palearctic
IOT,Afrotropic,,
IRL,Palearctic,,
IRN,Palearctic,,
IRQ,Palearctic,,
ISL,Palearctic,,
ISR,Palearctic,,
ITA,Palearctic,,
JAM,Neotropic,,
JEY,Palearctic,,
JOR,Palearctic,,
JPN,Palearctic,,
KAZ,Palearctic,,
KEN,Afrotropic,,
KGZ,Palearctic,,
KHM,Indomalaya,,
KIR,Oceania,,
KNA,Neotropic,,
KOR,Palearctic,,
KWT,Palearctic,,
LAO,Indomalaya,,
LBN,Palearctic,,
LBR,Afrotropic,,
LBY,Palearctic,,
LCA,Neotropic,,
LIE,Palearctic,,
LKA,Indomalaya,,
LSO,Afrotropic,,
LTU,Palearctic,,
LUX,Palearctic,,
LVA,Palearctic,,
MAC,Indomalaya,,
MAF,Neotropic,,
MAR,Palearctic,,
MCO,Palearctic,,
MDA,Palearctic,,
MDG,Afrotropic,,
MDV,Indomalaya,,
MEX,Neotropic,Nearctic,N Mexico is Nearctic; most land area and endemism Neotropic
MHL,Oceania,,
MKD,Palearctic,,
MLI,Afrotropic,,
MLT,Palearctic,,
MMR,Indomalaya,,
MNE,Palearctic,,
MNG,Palearctic,,
MNP,Oceania,,
MOZ,Afrotropic,,
MRT,Afrotropic,,
MSR,Neotropic,,
MTQ,Neotropic,,
MUS,Afrotropic,,
MWI,Afrotropic,,
MYS,Indomalaya,,
MYT,Afrotropic,,
NAM,Afrotropic,,
NCL,Australasia,,
NER,Afrotropic,,
NFK,Oceania,,
NGA,Afrotropic,,
NIC,Neotropic,,
NIU,Oceania,,
NLD,Palearctic,,
NOR,Palearctic,,
NPL,Indomalaya,,
NRU,Oceania,,
NZL,Australasia,Antarctic,the subantarctic islands are Antarctic realm
OMN,Palearctic,Afrotropic,Dhofar in the far S is Afrotropic
PAK,Indomalaya,Palearctic,Balochistan and N mountains are Palearctic
PAN,Neotropic,,
PCN,Oceania,,
PER,Neotropic,,
PHL,Indomalaya,,
PLW,Oceania,,
PNG,Australasia,,
POL,Palearctic,,
PRI,Neotropic,,
PRK,Palearctic,,
PRT,Palearctic,,
PRY,Neotropic,,
PSE,Palearctic,,
PYF,Oceania,,
QAT,Palearctic,,
REU,Afrotropic,,
ROU,Palearctic,,
RUS,Palearctic,,
RWA,Afrotropic,,
SAU,Palearctic,Afrotropic,SW highlands (Asir) are Afrotropic
SDN,Afrotropic,Palearctic,the far N Nubian desert is Palearctic
SEN,Afrotropic,,
SGP,Indomalaya,,
SGS,Antarctic,,
SHN,Afrotropic,,
SJM,Palearctic,,
SLB,Australasia,,
SLE,Afrotropic,,
SLV,Neotropic,,
SMR,Palearctic,,
SOM,Afrotropic,,
SPM,Nearctic,,
SRB,Palearctic,,
SSD,Afrotropic,,
STP,Afrotropic,,
SUR,Neotropic,,
SVK,Palearctic,,
SVN,Palearctic,,
SWE,Palearctic,,
SWZ,Afrotropic,,
SXM,Neotropic,,
SYC,Afrotropic,,
SYR,Palearctic,,
TCA,Neotropic,,
TCD,Afrotropic,,
TGO,Afrotropic,,
THA,Indomalaya,,
TJK,Palearctic,,
TKL,Oceania,,
TKM,Palearctic,,
TLS,Australasia,Indomalaya,Timor is Wallacea - transitional Indomalaya/Australasia
TON,Oceania,,
TTO,Neotropic,,
TUN,Palearctic,,
TUR,Palearctic,,
TUV,Oceania,,
TWN,Indomalaya,Palearctic,N Taiwan has Palearctic affinities
TZA,Afrotropic,,
UGA,Afrotropic,,
UKR,Palearctic,,
UMI,Oceania,,
URY,Neotropic,,
USA,Nearctic,Neotropic,S Florida Neotropic; Hawaii Oceanian - both small
UZB,Palearctic,,
VAT,Palearctic,,
VCT,Neotropic,,
VEN,Neotropic,,
VGB,Neotropic,,
VIR,Neotropic,,
VNM,Indomalaya,,
VUT,Oceania,Australasia,Vanuatu is on the Australasia/Oceania boundary
WLF,Oceania,,
WSM,Oceania,,
XKX,Palearctic,,
YEM,Afrotropic,Palearctic,the interior desert is Palearctic; SW highlands + Socotra Afrotropic
ZAF,Afrotropic,,
ZMB,Afrotropic,,
ZWE,Afrotropic,,
